Hours_Studied,Attendance,Parental_Involvement,Sleep_Hours,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Gender,Exam_Score,Study_Efficiency,Wellness_Index
23,84,Low,7,73,Low,0,Low,Medium,Public,3,No,High School,Male,67,1932,10.5
19,64,Low,8,59,Low,2,Medium,Medium,Public,4,No,College,Female,61,1216,16.0
24,98,Medium,7,91,Medium,2,Medium,Medium,Public,4,No,Postgraduate,Male,74,2352,14.0
29,89,Low,8,98,Medium,1,Medium,Medium,Public,4,No,High School,Male,71,2581,16.0
19,92,Medium,6,65,Medium,3,Medium,High,Public,4,No,College,Female,70,1748,12.0
19,88,Medium,8,89,Medium,3,Medium,Medium,Public,3,No,Postgraduate,Male,71,1672,12.0
29,84,Medium,7,68,Low,1,Low,Medium,Private,2,No,High School,Male,67,2436,7.0
25,78,Low,6,50,Medium,1,High,High,Public,2,No,High School,Male,66,1950,6.0
17,94,Medium,6,80,High,0,Medium,Low,Private,1,No,College,Male,69,1598,3.0
23,98,Medium,8,71,Medium,0,High,High,Public,5,No,High School,Male,72,2254,20.0
17,97,Medium,6,87,Low,2,Low,High,Private,2,No,High School,Male,71,1649,6.0
21,83,Medium,8,97,Low,2,Medium,Medium,Public,4,No,High School,Male,70,1743,16.0
9,82,Medium,8,72,Medium,2,Medium,Medium,Private,3,No,Postgraduate,Male,66,738,12.0
10,78,Medium,8,74,Medium,1,Low,Medium,Private,4,No,Postgraduate,Male,65,780,16.0
17,68,Medium,8,70,Medium,2,Medium,Medium,Private,4,No,High School,Female,64,1156,16.0
14,60,Medium,10,65,Low,0,High,Medium,Private,3,No,College,Male,60,840,15.0
22,70,Low,6,82,Medium,1,Low,High,Public,3,No,High School,Female,65,1540,9.0
15,80,Medium,9,91,Low,3,Low,Medium,Public,2,No,College,Female,67,1200,9.0
12,75,Medium,7,58,Medium,3,Medium,Medium,Private,4,No,College,Male,66,900,14.0
29,78,Medium,5,99,High,0,High,Medium,Public,1,No,High School,Female,69,2262,2.5
19,99,Medium,6,84,Medium,1,Medium,High,Public,3,No,High School,Male,72,1881,9.0
20,74,Medium,8,89,Low,1,Medium,Medium,Public,2,No,College,Female,66,1480,8.0
11,78,High,8,100,High,1,Low,Medium,Public,3,No,High School,Male,66,858,12.0
17,65,Low,5,75,Medium,2,Low,Medium,Public,3,No,High School,Female,63,1105,7.5
21,62,High,6,54,High,0,High,High,Public,3,No,Postgraduate,Male,64,1302,9.0
13,91,Low,6,90,Medium,1,High,Medium,Public,2,Yes,High School,Female,65,1183,6.0
22,83,High,6,94,Medium,0,High,Medium,Public,2,No,College,Male,71,1826,6.0
16,90,Medium,4,58,Medium,1,Low,Medium,Public,3,No,High School,Female,66,1440,6.0
18,66,High,4,51,Low,2,Low,Medium,Private,2,No,College,Male,64,1188,4.0
16,83,Low,6,57,Medium,0,High,Low,Public,4,Yes,High School,Female,63,1328,12.0
31,70,Medium,7,66,Medium,1,High,Medium,Public,3,No,College,Male,69,2170,10.5
20,69,Medium,8,96,Medium,2,Medium,High,Public,3,No,High School,Male,67,1380,12.0
14,60,High,5,50,Medium,2,Medium,Medium,Public,3,No,College,Female,61,840,7.5
25,65,High,5,90,Medium,2,Medium,Medium,Public,3,No,College,Female,68,1625,7.5
13,72,Low,6,93,Low,1,Low,Medium,Public,3,No,High School,Male,61,936,9.0
21,65,Medium,7,91,Low,2,Medium,High,Public,3,No,High School,Female,64,1365,10.5
8,99,Medium,9,54,Low,2,Low,Medium,Public,5,No,Postgraduate,Female,67,792,22.5
12,72,Low,8,84,Medium,1,Low,Medium,Public,5,No,High School,Female,63,864,20.0
21,65,Low,6,98,Low,1,Medium,High,Public,4,No,High School,Male,64,1365,12.0
24,68,High,8,56,Low,3,High,High,Public,1,No,College,Male,67,1632,4.0
21,84,Medium,6,52,Low,1,Medium,High,Public,2,Yes,College,Female,65,1764,6.0
19,63,Low,7,94,Medium,1,Medium,Medium,Private,3,No,High School,Male,64,1197,10.5
18,94,Medium,7,82,Medium,3,Medium,Medium,Private,2,Yes,College,Male,70,1692,7.0
11,98,Medium,9,82,Low,1,Medium,Medium,Private,3,No,Postgraduate,Male,68,1078,13.5
16,70,Medium,8,98,Medium,2,Medium,Medium,Public,3,No,High School,Male,65,1120,12.0
17,78,Medium,6,88,Medium,1,Medium,High,Private,3,No,College,Female,68,1326,9.0
26,61,Medium,6,70,Medium,2,Low,Medium,Public,3,No,High School,Female,64,1586,9.0
22,86,Low,7,72,Low,3,Low,High,Public,2,No,High School,Male,68,1892,7.0
9,77,Medium,5,57,Medium,2,Medium,High,Public,3,No,High School,Male,63,693,7.5
22,71,Low,7,65,Low,1,Medium,Low,Public,4,No,College,Male,64,1562,14.0
18,68,High,7,72,Medium,0,Medium,Medium,Public,3,No,College,Male,64,1224,10.5
16,86,Low,8,63,Medium,2,Medium,Medium,Public,4,No,High School,Male,67,1376,16.0
24,77,High,8,96,Medium,0,Medium,Medium,Public,3,No,High School,Female,67,1848,12.0
26,67,Medium,7,51,Low,2,High,High,Private,4,Yes,Postgraduate,Female,66,1742,14.0
26,88,Medium,5,79,Medium,1,Low,High,Private,4,No,College,Male,72,2288,10.0
15,83,Medium,5,89,Low,1,Medium,High,Public,2,Yes,High School,Female,65,1245,5.0
18,94,Medium,6,87,High,1,Medium,Medium,Public,4,No,High School,Male,71,1692,12.0
22,65,High,8,82,Medium,2,Medium,High,Public,1,No,Postgraduate,Female,66,1430,4.0
26,91,Medium,8,71,Medium,0,Low,Medium,Private,3,No,High School,Male,68,2366,12.0
17,87,Medium,7,96,Medium,1,High,Medium,Public,5,No,Postgraduate,Female,70,1479,17.5
19,65,Medium,10,66,Low,0,Low,Medium,Public,3,No,High School,Male,62,1235,15.0
13,88,Low,9,88,High,2,Low,High,Private,4,No,Postgraduate,Male,68,1144,18.0
13,78,Medium,9,96,High,2,Low,Medium,Public,3,No,College,Male,67,1014,13.5
25,98,Low,8,56,Medium,0,Medium,High,Private,3,No,Postgraduate,Male,71,2450,12.0
28,66,Medium,8,97,Medium,0,Medium,Medium,Public,2,No,High School,Male,68,1848,8.0
20,86,Medium,8,89,Medium,1,Low,Medium,Public,3,No,Postgraduate,Male,69,1720,12.0
26,75,Low,4,81,High,3,Medium,High,Private,2,No,High School,Male,70,1950,4.0
22,98,Medium,5,69,Low,1,Low,High,Public,4,No,High School,Female,69,2156,10.0
16,73,Medium,7,95,Medium,1,Low,Medium,Public,4,No,College,Male,65,1168,14.0
22,98,Medium,7,52,Medium,3,Medium,Medium,Public,3,No,College,Female,70,2156,10.5
29,96,Medium,7,72,Medium,1,Low,Medium,Public,3,No,High School,Male,71,2784,10.5
20,71,Medium,7,88,Medium,1,Low,Low,Public,4,No,College,Female,65,1420,14.0
29,92,Low,4,91,Medium,2,Medium,Medium,Public,1,No,Postgraduate,Female,72,2668,2.0
4,100,High,8,60,High,0,Medium,High,Private,4,No,College,Male,69,400,16.0
25,70,Medium,7,52,Medium,1,Medium,Medium,Public,3,No,Postgraduate,Female,66,1750,10.5
18,81,High,8,71,Medium,0,Medium,Medium,Public,3,No,High School,Female,65,1458,12.0
21,72,Medium,5,57,Medium,1,High,Medium,Public,5,Yes,College,Male,64,1512,12.5
8,61,Medium,7,54,Medium,1,High,Medium,Public,3,No,College,Male,60,488,10.5
19,69,Medium,7,82,High,1,Low,Medium,Public,2,No,High School,Male,65,1311,7.0
22,71,High,6,79,High,1,Low,Low,Public,3,No,High School,Male,66,1562,9.0
17,67,Medium,5,52,High,2,Medium,Medium,Private,3,No,High School,Female,62,1139,7.5
15,95,Medium,7,93,Medium,2,Low,Medium,Public,4,No,College,Male,70,1425,14.0
17,88,Medium,7,94,Low,0,Medium,Medium,Public,3,No,High School,Male,69,1496,10.5
25,63,Medium,7,72,Medium,3,Medium,High,Private,4,No,College,Male,67,1575,14.0
22,86,Low,6,54,Medium,2,Medium,Medium,Public,0,No,High School,Male,64,1892,0.0
17,86,Medium,5,97,High,3,High,Medium,Public,3,No,College,Male,71,1462,7.5
23,98,Medium,7,54,Low,0,Medium,Medium,Public,3,No,College,Female,68,2254,10.5
21,60,High,7,80,Medium,0,Medium,High,Public,4,Yes,College,Male,64,1260,14.0
26,70,Medium,8,75,Medium,1,Medium,Low,Private,4,Yes,High School,Female,63,1820,16.0
16,97,Medium,6,92,Low,0,High,Medium,Private,4,No,College,Male,71,1552,12.0
18,97,High,4,75,Low,0,Low,Medium,Public,3,No,High School,Male,69,1746,6.0
11,91,Medium,6,94,Medium,3,Medium,Medium,Public,3,No,College,Male,68,1001,9.0
22,64,Low,7,98,Low,1,Medium,Medium,Public,3,No,High School,Male,62,1408,10.5
22,81,Medium,7,77,Low,2,Medium,Medium,Public,3,No,Postgraduate,Female,68,1782,10.5
20,69,High,6,73,Medium,2,Low,Medium,Private,3,No,High School,Male,66,1380,9.0
19,67,Low,5,92,High,0,Medium,Medium,Public,3,No,College,Male,64,1273,7.5
12,92,Medium,4,92,High,2,Medium,High,Public,3,Yes,High School,Male,67,1104,6.0
17,65,Medium,8,66,Medium,1,High,High,Public,4,Yes,Postgraduate,Female,65,1105,16.0
18,79,Medium,7,79,Medium,0,Low,High,Private,3,No,College,Male,65,1422,10.5
15,98,High,6,58,High,0,Low,High,Public,3,No,College,Male,69,1470,9.0
19,67,Medium,5,82,High,1,Low,Low,Private,3,No,High School,Male,63,1273,7.5
22,99,Medium,6,92,Low,3,Medium,Medium,Public,4,No,Postgraduate,Male,72,2178,12.0
21,82,Medium,7,66,High,3,Low,Medium,Public,3,Yes,College,Female,69,1722,10.5
22,67,Medium,7,72,High,3,Low,High,Public,2,No,Postgraduate,Female,67,1474,7.0
20,73,High,9,92,Medium,2,Medium,High,Public,3,No,College,Male,69,1460,13.5
8,77,High,6,87,Medium,0,Low,Medium,Public,2,No,High School,Male,63,616,6.0
20,72,Medium,9,66,Medium,3,Low,High,Private,3,No,Postgraduate,Male,67,1440,13.5
20,71,Low,7,62,High,2,Medium,Medium,Public,5,No,College,Male,66,1420,17.5
19,66,Medium,8,74,Medium,1,High,Medium,Public,3,No,High School,Female,64,1254,12.0
22,89,High,6,80,Medium,1,High,High,Public,3,No,High School,Female,73,1958,9.0
20,60,Low,7,82,High,2,Low,High,Public,4,Yes,High School,Male,63,1200,14.0
13,84,Medium,5,78,Medium,1,Low,High,Public,2,No,High School,Male,65,1092,5.0
27,97,Low,8,81,Medium,0,High,Medium,Public,5,No,High School,Female,73,2619,20.0
25,72,High,8,94,Low,2,Low,Medium,Private,4,No,College,Female,70,1800,16.0
25,67,High,9,93,High,2,Low,High,Public,3,Yes,High School,Female,68,1675,13.5
15,86,Medium,7,57,Medium,1,Medium,Medium,Public,3,No,College,Male,65,1290,10.5
28,89,Low,9,79,High,0,Low,Medium,Private,1,No,College,Female,71,2492,4.5
12,88,Low,6,72,Low,2,Medium,Medium,Public,2,No,College,Male,64,1056,6.0
33,70,Medium,6,82,Low,1,Low,High,Public,4,No,College,Male,69,2310,12.0
14,98,Medium,7,76,Medium,0,Medium,High,Private,4,No,College,Female,69,1372,14.0
17,97,Medium,8,89,Medium,1,Low,Medium,Public,4,No,High School,Male,69,1649,16.0
21,78,Medium,10,55,Medium,1,High,Low,Private,2,No,College,Male,67,1638,10.0
11,78,Medium,8,51,Medium,2,Low,Medium,Public,3,No,Postgraduate,Male,64,858,12.0
20,77,Medium,6,87,Low,0,Low,High,Public,4,No,High School,Female,66,1540,12.0
14,66,High,7,96,Medium,3,Low,High,Public,3,No,High School,Male,63,924,10.5
23,77,Medium,7,79,Medium,0,Low,High,Public,2,No,High School,Male,66,1771,7.0
14,81,Medium,9,81,Medium,1,Low,High,Private,3,No,Postgraduate,Female,66,1134,13.5
29,61,Medium,7,52,Low,3,Low,Medium,Private,3,No,College,Female,67,1769,10.5
15,78,High,9,75,Low,1,Low,Medium,Public,1,No,High School,Male,65,1170,4.5
18,91,Low,5,76,Medium,1,Medium,Medium,Public,3,No,High School,Female,68,1638,7.5
25,87,Medium,9,52,High,1,Low,High,Private,2,No,High School,Male,68,2175,9.0
13,85,High,6,89,Medium,0,High,Medium,Private,1,Yes,High School,Male,65,1105,3.0
21,96,Medium,8,64,High,2,Medium,High,Public,0,No,College,Male,71,2016,0.0
28,61,Medium,6,86,High,1,Low,Medium,Private,3,Yes,Postgraduate,Male,65,1708,9.0
10,82,Medium,8,70,Medium,3,Low,High,Public,1,Yes,Postgraduate,Female,64,820,4.0
21,91,High,6,100,Medium,0,High,Medium,Private,2,No,Postgraduate,Female,72,1911,6.0
22,82,Medium,9,61,Medium,2,Low,Medium,Public,2,Yes,High School,Female,65,1804,9.0
25,73,Medium,8,53,High,0,Low,High,Private,5,No,Postgraduate,Female,66,1825,20.0
13,65,Low,6,99,Medium,0,Low,Medium,Private,4,No,High School,Male,61,845,12.0
12,96,Low,8,62,Medium,2,Medium,High,Public,3,No,College,Female,68,1152,12.0
23,79,High,8,82,Low,3,Medium,Medium,Public,3,Yes,Postgraduate,Female,69,1817,12.0
22,95,Medium,6,69,Medium,1,Low,Medium,Public,3,No,College,Female,72,2090,9.0
22,83,Medium,5,82,Medium,2,Low,High,Public,3,No,Postgraduate,Female,71,1826,7.5
22,87,High,5,80,Low,2,Low,High,Public,3,No,High School,Female,70,1914,7.5
16,92,Medium,5,85,Low,1,Low,Medium,Public,2,No,High School,Male,68,1472,5.0
21,86,Low,5,51,Medium,2,Low,High,Public,2,No,High School,Female,67,1806,5.0
22,76,Medium,8,92,Medium,1,Low,High,Public,4,No,High School,Female,68,1672,16.0
16,81,Medium,8,74,Medium,3,Medium,Medium,Public,2,No,Postgraduate,Female,68,1296,8.0
31,92,Medium,4,76,Medium,2,Medium,High,Public,4,Yes,High School,Male,72,2852,8.0
23,75,Low,6,71,Low,0,Medium,Medium,Public,2,No,College,Male,65,1725,6.0
13,76,Medium,5,99,Low,2,Medium,Medium,Private,4,No,High School,Female,66,988,10.0
24,64,Medium,8,90,High,0,Low,High,Public,3,No,High School,Male,65,1536,12.0
14,97,Medium,6,66,Medium,2,Medium,Medium,Public,3,Yes,College,Female,67,1358,9.0
25,64,Medium,5,89,Low,2,Medium,Medium,Public,4,No,College,Male,66,1600,10.0
27,86,Medium,7,72,Low,1,Medium,High,Public,4,No,High School,Male,69,2322,14.0
15,77,Medium,8,94,Low,0,High,High,Public,3,No,College,Male,66,1155,12.0
22,87,High,7,68,Medium,0,Low,Medium,Public,2,No,High School,Male,67,1914,7.0
25,63,High,6,71,Medium,1,Medium,Low,Private,3,No,High School,Male,66,1575,9.0
31,84,Medium,9,87,Medium,2,Low,Medium,Private,3,No,College,Male,71,2604,13.5
15,93,High,6,64,Medium,2,Medium,High,Public,4,No,Postgraduate,Male,71,1395,12.0
15,67,Medium,7,86,High,1,High,Medium,Private,3,No,Postgraduate,Male,66,1005,10.5
15,96,Medium,7,54,High,3,Medium,High,Public,2,No,High School,Male,67,1440,7.0
20,86,High,8,60,Medium,1,Medium,Medium,Public,4,Yes,College,Female,66,1720,16.0
22,95,Medium,9,88,Low,0,Low,High,Public,2,No,Postgraduate,Male,72,2090,9.0
22,79,Medium,9,94,Medium,1,Medium,Medium,Public,3,No,High School,Male,68,1738,13.5
25,82,Medium,6,86,Medium,3,Low,High,Public,3,No,High School,Female,69,2050,9.0
20,97,Medium,7,76,Low,2,Low,Low,Private,3,No,Postgraduate,Male,71,1940,10.5
29,96,Medium,9,55,Low,0,Medium,Medium,Public,2,No,Postgraduate,Female,70,2784,9.0
18,78,Medium,9,91,High,2,High,Low,Public,4,No,College,Female,67,1404,18.0
36,71,Medium,6,56,Medium,2,High,Medium,Public,2,No,High School,Male,69,2556,6.0
24,76,Low,8,69,Low,2,Medium,Medium,Public,1,No,High School,Male,65,1824,4.0
15,76,High,8,53,Medium,1,Low,Medium,Public,4,No,College,Male,65,1140,16.0
14,71,Medium,8,85,Low,2,Medium,High,Public,4,No,High School,Male,64,994,16.0
23,71,Low,9,75,Low,1,Low,Medium,Public,2,No,College,Male,63,1633,9.0
19,94,Low,5,95,Medium,3,Low,Low,Public,2,No,High School,Male,69,1786,5.0
24,63,Medium,6,57,Medium,1,Low,High,Private,5,No,College,Female,64,1512,15.0
23,87,High,8,91,High,0,High,Medium,Private,3,No,High School,Male,72,2001,12.0
20,67,Low,7,76,Medium,0,Medium,Medium,Public,4,No,High School,Male,63,1340,14.0
15,74,Low,4,68,Low,3,Low,Medium,Public,3,No,High School,Female,64,1110,6.0
11,62,Medium,5,82,Medium,3,High,Medium,Private,4,No,College,Male,64,682,10.0
25,91,Medium,8,72,Low,2,Medium,High,Public,0,No,Postgraduate,Male,71,2275,0.0
21,95,Medium,5,62,High,1,Medium,Low,Public,4,No,High School,Male,70,1995,10.0
13,69,Medium,9,96,Low,0,High,Medium,Private,4,No,High School,Female,61,897,18.0
21,79,Medium,7,66,Low,2,Low,Medium,Public,4,No,College,Male,67,1659,14.0
15,95,Low,6,88,Low,1,Low,Medium,Public,5,No,High School,Male,66,1425,15.0
21,91,Medium,5,84,Medium,1,High,Low,Public,2,No,High School,Male,70,1911,5.0
20,81,High,6,51,High,3,Medium,Medium,Public,4,Yes,High School,Male,67,1620,12.0
13,87,High,4,72,Medium,2,Medium,High,Public,3,No,High School,Female,67,1131,6.0
22,94,Low,7,75,High,2,High,Medium,Public,2,No,College,Female,71,2068,7.0
23,60,High,8,69,Medium,1,Low,Medium,Private,4,No,College,Male,66,1380,16.0
26,76,Medium,5,57,Medium,1,Medium,Medium,Public,4,No,High School,Male,68,1976,10.0
26,96,Medium,7,68,Medium,3,High,Medium,Private,3,No,College,Female,74,2496,10.5
12,90,Medium,6,54,Medium,1,High,Medium,Public,3,No,High School,Male,64,1080,9.0
14,82,Medium,8,65,Medium,1,Low,Medium,Private,3,No,College,Male,65,1148,12.0
23,81,Low,4,54,Medium,1,Low,Medium,Public,3,No,College,Male,66,1863,6.0
23,74,Medium,8,88,Low,0,Medium,High,Public,3,Yes,High School,Male,66,1702,12.0
23,81,Medium,4,84,Medium,2,Medium,Medium,Public,5,No,High School,Male,68,1863,10.0
23,77,Medium,6,69,Low,1,Medium,Medium,Private,2,No,High School,Female,67,1771,6.0
27,89,Medium,6,89,Medium,3,Medium,Medium,Private,3,No,High School,Male,74,2403,9.0
26,94,Medium,5,79,High,1,Low,High,Public,2,No,Postgraduate,Male,74,2444,5.0
24,66,Medium,9,82,Low,1,Medium,Medium,Public,2,Yes,High School,Female,62,1584,9.0
18,78,High,5,77,Medium,2,Medium,Medium,Public,4,No,High School,Male,66,1404,10.0
25,76,Medium,5,89,High,3,Medium,High,Public,3,No,High School,Female,69,1900,7.5
15,87,Medium,10,52,Medium,2,Low,High,Private,3,No,College,Male,68,1305,15.0
17,86,High,5,55,Low,2,High,Medium,Private,4,No,College,Male,66,1462,10.0
20,95,Low,7,64,Low,2,Medium,High,Public,3,No,High School,Female,68,1900,10.5
34,77,Medium,7,80,Low,0,Medium,Medium,Public,3,No,High School,Male,69,2618,10.5
9,96,Medium,4,82,High,0,Low,Medium,Public,4,No,College,Male,67,864,8.0
24,100,High,6,86,Low,2,Medium,Medium,Private,5,No,High School,Male,75,2400,15.0
